null|Mount View Public School|Jhajjar Road , Opp. Power House , Sector-2 , Bahadurgarh|N/A|HR|124507|null|Praveen Kumar|01276-215054|Principal|ksganeshan_2007@rediffmail.com|Asia/Kolkata|IN
null|Mrcr Public School|Hansi Road , Opp. Market Committee|N/A|HR|126101|null|Sh. Rajan Parkash|0761 275333|Principal|sband99@hotmail.com|Asia/Kolkata|IN
null|Mukand Lal Public School|Sarojni Colony Yamuna Nagar Haryana|N/A|HR|135001|null|Mrs. Shashi Bathla|01732 250092|Principal|mlps2008ynr@rediffmail.com|Asia/Kolkata|IN
null|N C C Sr Model School|Chandigarh Road Baldev Nagar Ambala City Haryana|N/A|HR|134007|null|Ms Ruchi Mittal|01741 222397|Principal|sismakker@yahoo.co.in|Asia/Kolkata|IN
null|N.I.C Public School, Assan|V.P.O Assan Distt. Rohtak|N/A|HR|124421|null|Rajesh Kumar|01262222857|Principal|nicschool@rediffmail.com|Asia/Kolkata|IN
null|Nachiketan Model School|Shahid Udham Singh Chowk, Ellenabad,Distt. Sirsa, Haryana.|N/A|HR|125102|null|B.S.Shekhawat|01698 221786|Principal|nms_enb@yahoo.com|Asia/Kolkata|IN
null|Nachiketan Public School|Mameran Bye-Pass Ellenabad Disst Sirsa Haryana|N/A|HR|125102|null|Mr. Sh Satya Narayan|01698 221101|Principal|npseducation@rediffmail.com|Asia/Kolkata|IN
null|Nalanda Vidya Niketan|V.&P.O. Dalanwas|N/A|HR|123201|null|Jai Singh|094162-43531|Principal|lccnnl@yahoo.com|Asia/Kolkata|IN
null|Narsingh Dass Public School|Naraina Road Taraori Karnal Haryana|N/A|HR|121003|null|Smt Shyama Mohan Gupta|62036|Principal|ndps04199@rediffmail.com, ndps04199@ymail.com|Asia/Kolkata|IN
null|National Montessori Convent School|Fatehabad Road, Bhattu Kalan|N/A|HR|125053|null|Arzoo Taneja|01667-293086|Principal|sirsaphotostat@gmail.com|Asia/Kolkata|IN
null|National Public School|Rahara Road|N/A|HR|132039|null|Rajesh Kumar|9466269109|Principal|nationalschool@yahoo.com|Asia/Kolkata|IN
null|National Public School|Radaur Road Yamuna Nagar Jagadhari Haryana|N/A|HR|135001|null|Mr. R.S. Pundir|01732 291825|Principal|nps_726@yahoo.co.in|Asia/Kolkata|IN
null|Nav Bharat Vidya Mandir|Nav Bharat Vidya Mandir Barwala, Hissar|N/A|HR|125121|null|Bharat Bushan|09896414101|Principal|nav_bharat_vidya@yahoo.com|Asia/Kolkata|IN
null|Nav Jyoti Sr. Sec. School|Village Lakria, Po Dighal Dist. Jhajjar (Haryana)|N/A|HR|124103|null|Mr. Anuj Kumar|0751 09896841108|Principal|skvgwl@sify.com|Asia/Kolkata|IN
null|Nav Jyoti Sr. Sec. School|V & Po Pithrawas|N/A|HR|123041|null|Satyavir Yadav|09416184289|Principal|sanjaygoyalnnl@gmail.com|Asia/Kolkata|IN
null|Nav Vaidik Kanya Vidya Peeth|V.P.O. Pillukhera Mandi|N/A|HR|126113|null|Savita Arya|01686290700|Principal|contact@vkvidyapeeth.info|Asia/Kolkata|IN
null|Navodya Vidya Niketan Sr. Sec. School|Gazipur Road, Dabua Colony, N.I.T. Faridabad(Haryana)|N/A|HR|121001|null|R.K. Sharma|01292481817|Principal|maikesh@yahoo.com|Asia/Kolkata|IN
null|Navyug Public School|Old Rohtak Road Near Suri Petrol Pump Sonepat Haryana|N/A|HR|131001|null|Sudesh Sharma|01264 2726|Principal|dpsfbd@nda.vsnl.net.in|Asia/Kolkata|IN
null|Navyug Sr.Sec.School,Bandaheri(Mundhal),Hissar|Mundhal Khurd, Distt-Bhiwani 127041|N/A|HR|127041|null|Jagat Ram Sharma|09416630215|Principal|nps.mundhal@gmail.com|Asia/Kolkata|IN
null|Neo Convent Public School|Tejli Road Jagadhri Yamuna Nagar Haryana|N/A|HR|135003|null|Mrs Rohita|01732 017322321|Principal|mittalsurya@yahoo.co.in|Asia/Kolkata|IN
null|New Era Public School|Madlauda Mandi, Panipat|N/A|HR|132113|null|Pawan Kumar|01803204340|Principal|newera2007@zapak.com|Asia/Kolkata|IN
null|New Era Public Senior Secondary School|Village Gujarwas, P.O. Nahar, Tehsil Kosli, Dist. Rewari, Pin-123303|N/A|HR|123303|null|Vijay Pal|01259271362|Principal|nepsgujarwas@yahoo.in|Asia/Kolkata|IN
null|New Happy Public School|Chhachhurauli Road Vpo Bilaspur Distt Yamuna Nagar Haryana|N/A|HR|135102|null|Mr. Smt Monika Sharma|01735 274840|Principal|newhappypublicschoolbilaspur@yah.co|Asia/Kolkata|IN
null|New India Public School|Rathpur Colony|N/A|HR|134102|null|Vijay Lohari|01733-230888|Principal|nips.pinjore@yahoo.co.in|Asia/Kolkata|IN
null|New Lahoria Vidya Mandir|Lahoria Chowk Hissar Haryana|N/A|HR|125001|null|Smt Kaushlaya Goswami|01664 59953|Principal|bps_bhiwani@rediffmail.com|Asia/Kolkata|IN
null|New Pragati Sen. Sec. School|Principal New Pragati Sen. Sec. School , Dahola ( Jind ) Pin-132134|N/A|HR|132134|null|Ajit Kumar Gautam|09355059158 09416349775|Principal|newpragatischool@gmail.com|Asia/Kolkata|IN
null|New Shisu Kalyan High School|Vill- Chandu, P.O- Budhera Distt-Gurgaon|N/A|HR|122001|null|Mr.Umesh Kumar|09868066574 09728838850|Principal|newshishukalyanhighschoo@yahoo.com|Asia/Kolkata|IN
null|New Yashoda Public School|Urban Estate-2 Hissar Haryana|N/A|HR|125001|null|Miss Anjna Twickley|01662 245541|Principal|jangsher@nde.vsnl.net.in|Asia/Kolkata|IN
null|Ningania Vidya Mandir|Village|N/A|HR|N/A|null|Sanjay Tayal|1734-254297|Principal|surinder_bhartiy@hotmail.com|Asia/Kolkata|IN
null|Nishan Public School|Dinilpur Road Near Flying Club P.O. Tikri Karnal Haryana|N/A|HR|132001|null|S K Gupta|null|Principal|nishanschool@sify.com|Asia/Kolkata|IN
null|Northern International School|Daroli Road, Mandi Adampur|N/A|HR|125052|null|Srinivas Rao|01669242777|Principal|principal@northerninternational.org|Asia/Kolkata|IN
null|O P Jindal Modern School|6Th K M Stone Delhi Road Hisar Haryana|N/A|HR|125005|null|Mr. Sh Julian Egbert|01662 221011|Principal|info@opjms.edu.in|Asia/Kolkata|IN
null|O P S Internatioal School|Kunjpura Road Karnal Haryana|N/A|HR|132001|null|Rakha Mahajan|0184 266339|Principal|davschool_sirsa@rediffmail.com|Asia/Kolkata|IN
null|O S D A V Public School|Kaithal Haryana|N/A|HR|132027|null|Suman Nijhawan|0180 2899|Principal|aptechkaithal@vsnl.com|Asia/Kolkata|IN
null|Octagon Public School|Jaddish Pur Distt Sonepat Haryana|N/A|HR|131030|null|Dr Vinita Singh|07805 2325461|Principal|stthomas_mds@sanchernet.in|Asia/Kolkata|IN
null|Om Internation Public School|Rasoolpur Road, Palwal|N/A|HR|121102|null|Jai Dev|09254350401|Principal|ois_palwal@yahoo.in|Asia/Kolkata|IN
null|Om Parkash Garg Memorial Public School|Hinori Road, Ladwa|N/A|HR|136132|null|Bhawna Garg|01744260751|Principal|myopgschool@yahoo.com|Asia/Kolkata|IN
null|Om Public School|Jind Road, Gohana|N/A|HR|131301|null|Jai Prakash|01263252327|Principal|opsgohana@rediffmail.com|Asia/Kolkata|IN
null|Om Shanti Shiksha Sadan Sr. Sec. School|V.P.O. Nathupur Distt. Sonepat|N/A|HR|131001|null|Vinod Kumar|0291 0130-2371808|Principal|omshantinathupur@rediffmail.com|Asia/Kolkata|IN
null|Ops Vidya Mandir|Sector 13 U E Karnal Haryana|N/A|HR|132001|null|Archana Singh|01250 243341|Principal|skool.ms.chkd@apj.edu|Asia/Kolkata|IN
null|Our Lady Of Fatima Convent Sec Sch|New Colony Gurgaon Haryana|N/A|HR|122001|null|Sr Felicita|0565 320467|Principal|ourladyoffatima@rediffmail.com|Asia/Kolkata|IN
null|Oxford High School|Daulatpur Road Uklana Mandi Distt Hissar Haryana|N/A|HR|125113|null|Mr. Smt Veenu Bharti|01693 233448234048|Principal|oxford4u@rediffmail.com|Asia/Kolkata|IN
null|Oxford International School|Vill Mukundpur Basai, Po Bolni, Distt Rewari, Haryana|N/A|HR|123501|null|Brahm Prakash|01274203187|Principal|oxford_bolni@yahoo.co.in|Asia/Kolkata|IN
null|P K R Jain Public School|Arya Chowk Ambala City Haryana|N/A|HR|134002|null|Mr. Mrs J Singh|5712122624|Principal|amanjain@nde.vsnl.net.in|Asia/Kolkata|IN
null|P.L. Jindal Convent School|Near Tehsil Complex , Fatehabad Road , Ratia|N/A|HR|125051|null|Seema|01697253888|Principal|pl_jindal@yahoo.com|Asia/Kolkata|IN
null|Param Mitra Kanya Vidya Niketan Sr. Sec. School,|Vpo Khanda Kheri|N/A|HR|125038|null|Rajendra Manav|01663-242363|Principal|rajendramanav@yahoo.com|Asia/Kolkata|IN
null|Paramount Convent High School|Vpo|N/A|HR|N/A|null|Sudha Gupta|01734285394|Principal|paramount4u@gmail.com|Asia/Kolkata|IN
null|Paramount School|Rewari Road, Village - Sigra, Po - Bucholi, Dist - Mahindergarh, Haryana - 123029|N/A|HR|123029|null|Ravinder Kumar Sharma|09416128692|Principal|paramount.school@yahoo.com|Asia/Kolkata|IN
null|Paramount Sr. Sec. School|Chhuchhakwas, Jhajjar, Haryana|N/A|HR|124106|null|Chand Singh|01251-234015|Principal|para_edu_society@yahoo.com|Asia/Kolkata|IN
null|Paras Ram Het Ram (Kaliyana Wale) Smirity Kanya Sr. Sec. School, Ch. Dadri|Paras Ram Het Ram Smirity Kanya Sr. Sec. School, Ch. Dadri, Bhiwani, Haryana|N/A|HR|123306|null|Rakesh Gupta|1250222448|Principal|paras_ram_school@hotmail.com|Asia/Kolkata|IN
null|Pathania Public School|Shiela Bye Pass Rohtak Haryana|N/A|HR|124001|null|Mr. Versha Pathania|01262 277414|Principal|pathania_school1985@yahoo.com|Asia/Kolkata|IN
null|Pathfinder Global School|Village|N/A|HR|N/A|null|R P Manchanda|01795 O1259-276423 24 25 27|Principal|info@pgskosli.in|Asia/Kolkata|IN
null|Pdm Public School|Sarai Aruangabad Bahadurgarh Jhajjar Haryana|N/A|HR|124507|null|Ms Sangeeta Kathuria|01276 215373|Principal|gbngreenwood@gmail.com|Asia/Kolkata|IN
null|Pinewood International Boarding School|Village Pawta Main Sohna Road Distt Faridabad Haryana|N/A|HR|121004|null|Mrs Neelam Mohan|01732 27735|Principal|kul_khalsa@yahoo.com|Asia/Kolkata|IN
null|Pioneer Convent School|Sector-11, Bighar Road, Fatehabad|N/A|HR|125055|null|M.P. Mittal|01667-225526|Principal|sirsaphotostat@gmail.com|Asia/Kolkata|IN
null|Pioneer Secondary School,Singhpura|P.O. Safidon Distt. Jind(Haryana)|N/A|HR|126112|null|Mamta|0 01686-265189|Principal|pioneersch@gmail.com|Asia/Kolkata|IN
null|Pkr Jain Vatika|Pkr Jain Vatika , Village Nasirpur, Hisar Road|N/A|HR|133001|null|Uma Sharma|0171-2531620 0171-3203217|Principal|pkrjainvatika@rediffmail.com|Asia/Kolkata|IN
null|Police Public School|New Police Line Colony Hissar Haryana|N/A|HR|125001|null|Mr. Sh. Sher Singh|01662 277162|Principal|pps_hsr@rediff.com|Asia/Kolkata|IN
null|Prakash Bal Bharti Public School|A-446 Dabua Colony, N,I,T, Faridabad(Haryana)|N/A|HR|121001|null|Manjeet Kohli|01292481304|Principal|pbbps@rediffmail.com|Asia/Kolkata|IN
null|Pratap Public School|Sector 6 Urban Estate Karnal Haryana|N/A|HR|132001|null|Nisha Sawhney|null|Principal|pratap@hans.palcom.net|Asia/Kolkata|IN
null|Pratap Public School|Dyal Singh College Road Karnal Haryana|N/A|HR|132001|null|V B Pant|null|Principal|galil@ch1.vsnl.net.in|Asia/Kolkata|IN
null|Pratap Public School|Railway Road Taraori Karnal Haryana|N/A|HR|132116|null|Mr. Mathew Varghese|01662 259082394804|Principal|mathewcvim@yahoo.co.in|Asia/Kolkata|IN
null|Pratap Public School|Vpo Jundla, District Karnal|N/A|HR|132001|null|Mrs.Sunita Ahlawat|01745274272|Principal|pratap_public_school@hotmail.com|Asia/Kolkata|IN
null|Prerna Public School|Hissar Road Sirsa Haryana|N/A|HR|125055|null|Ms Sunita Kakar|23929|Principal|prerna_school@yahoo.com|Asia/Kolkata|IN
null|Public School Bal Bhawan|Bhiwani Haryana|N/A|HR|125021|null|Mr. Mahender Kumar Sharma|01664 241386|Principal|psbbbhiwani@gmail.com|Asia/Kolkata|IN
null|R C Memorial Sr Sec School|Majra Jahajgarh Teh Beri Distt Jhajjar Haryana|N/A|HR|124131|null|Mr. Smt. Sarita Kumari|9992142399|Principal|rcm_jahazgarh@yahoo.co.in|Asia/Kolkata|IN
null|R D M Saraswati Public School|Uklana Mandi Hisar Haryana|N/A|HR|125113|null|Mrs Rita Tyagi|01693 235391|Principal|usha_narang@hotmail.com|Asia/Kolkata|IN
null|R E D School|Tehsil Talao Road Jhajjar Haryana|N/A|HR|124103|null|Ms Renu Suri|01250 0285475|Principal|skool.ms.chkd@apj.edu|Asia/Kolkata|IN
null|R E D Sr Sec School|Chhuchhakwas Teh Jhajjar Rohtak Haryana|N/A|HR|124001|null|Raj Pal Singh|215|Principal|kataria@relianceproperties.com|Asia/Kolkata|IN
null|R K Memorial Sr. Sec. School|Narela Road , Safiabad|N/A|HR|131001|null|Sunita Sharma|09910862502|Principal|rkmpsschool@rediffmail.com|Asia/Kolkata|IN
null|R R N Dav Public School|Kosli Haryana|N/A|HR|123302|null|A K Sharma|01667 75498|Principal|harish@daffodilsinstitutions.org|Asia/Kolkata|IN
null|R S Public Sr Secondary School|Meera Ghati G T Road Karnal|N/A|HR|132001|null|Mr R K Bajwa|null|Principal|rspschool@hotmail.com|Asia/Kolkata|IN
null|R. D. S. Public School|R. D. S. Public School, In Front Of Tehsil, Rewari Road (Dharuhera)|N/A|HR|123106|null|D. N. Joshi|01274-242520|Principal|rdsdhr@gmail.com|Asia/Kolkata|IN
null|R. N. School|Kaithal Road, Fatehpur-Pundri Distt. Kaithal(Hryana)|N/A|HR|136042|null|Mr.Inder Kumar|01746-271502|Principal|rnschool2010@gmail.com|Asia/Kolkata|IN
null|R.C.M Sr. Sec. School Kosli|Malesiyawas Road Kosli|N/A|HR|123302|null|Sunita Yadav|08258 01259-691413|Principal|rcmcollegeofeducation@yahoo.com|Asia/Kolkata|IN
null|R.E.D. School Charkhi|8Th Km Stone On Dadri-Bhiwani Road|N/A|HR|127306|null|Krishan Kumar Malik|01250-215504|Principal|reddadri@gmail.com|Asia/Kolkata|IN
null|Rainbow Montessori School, Habri|Near Power House, Rugsana Road, Habri|N/A|HR|136026|null|Mrs.Poonam Dhiman|919416176405|Principal|rms.habri2007@gmail.com|Asia/Kolkata|IN
null|Rajendra Public School|V.P.O Sidhrawali|N/A|HR|123413|null|Kiran Bala|09811240079|Principal|rps_sidhrawali@rediffmail.com|Asia/Kolkata|IN
null|Rajendra Public Sr.Sec.School,Panjuana (Sirsa)|12Th Mile Stone N.H.-10 Panjuana Dist.Sirsa|N/A|HR|125077|null|G.Ramakrishanan|01666-2290577|Principal|rajendra12nh@gmail.com|Asia/Kolkata|IN
null|Rajmala Senior Secondary School|Shail Farm, Village & Post|N/A|HR|N/A|null|V.D. Sharma|0124-3208538|Principal|rajmala_school@rediffmail.com|Asia/Kolkata|IN
null|Rama. Krishna. Sr. Sec .School|Bhattu Road. Ftb|N/A|HR|125050|null|Radha Rani|0|Principal|mitu539@yahoo.co.in|Asia/Kolkata|IN
null|Raman Munjal Vidya Mandir|67Km. Stone Delhi Jaipur Highway Sidhrawali Distt. Gurgaon|N/A|HR|123413|null|Mrs Vidya Sridhar|1283 42981-3|Principal|rao569@rediffmail.com|Asia/Kolkata|IN
null|Ramchander Public School|Gahra Road Kanina|N/A|HR|123027|null|Pitamber Sharma|01285235803|Principal|rpskanina@gmail.com|Asia/Kolkata|IN
null|Rao Harchand Memorial Public School|Vill- Kankrola, P.O.- Bhangrola, Distt.- Gurgaon, Teh.- Gurgaon, Haryana|N/A|HR|122001|null|Mrs.Anita James|09953960052 09050943367|Principal|rhmpsggn@gmail.com|Asia/Kolkata|IN
null|Rao Jai Ram Sr. Sec. School|Vpo- Beri|N/A|HR|123029|null|Mrs.Rajesh|1285222275|Principal|rjrpbm@gmail.com|Asia/Kolkata|IN
null|Rao Lal Singh Public School|Sidhrawali Distt Gurgaon Haryana|N/A|HR|123413|null|Mrs. Asha Saxena|0124|Principal|rlsps_2@sify.com|Asia/Kolkata|IN
null|Rao Nihal Singh Public School|Vpo Darauli Distt & Teh Rewari Haryana|N/A|HR|123411|null|Sh Chander Hash|0130 2800397|Principal|mbdischool@gmail.com|Asia/Kolkata|IN
null|Rao Pahlad Singh Public School|Village Baliar Kalan Delhi Road Rewari|N/A|HR|123401|null|Mr.Rakesh Kumar Vashistha|01274240645|Principal|rpsrewari@gmail.com|Asia/Kolkata|IN
null|Rao Pahlad Singh Senior Secondary School|Khatod Mohindergarh Haryana-123029|N/A|HR|123029|null|Savita Davi|0180 2899|Principal|aptechkaithal@vsnl.com|Asia/Kolkata|IN
null|Rao Ram Singh Senior Secondary School,Dhani Khemuwali,Bhora Kalan|Village- Dhani Khemuwali, Post Office - Bhora Kalan|N/A|HR|122413|null|Satish Kumar|0124-2379707|Principal|s.kyadav05@yahoo.in|Asia/Kolkata|IN
null|Rao Ramchander Memorial Public School|Sehore- Chhithroli Road Kanina, Distt Mohindergarh, Haryana-123027|N/A|HR|123027|null|Mr. Srinibas Mishra|01285 235803|Principal|rlscollegeofed@redfillmail.com|Asia/Kolkata|IN
null|Rattan Convent School|Harfala Road Seekari Faridabad Haryana |N/A|HR|N/A|null|Mrs. Saroj Malik|0129 3212390|Principal|rattanconvent@gmail.com|Asia/Kolkata|IN
null|Raunaq Public School|Raunaq Nagar Ganaur Sonipat Distt Haryana|N/A|HR|131101|null|Indranath Sinha|48|Principal|rps_ganaur@rediffmail.com, indranath3@gmail.com|Asia/Kolkata|IN
null|Rawal International School|Nagla Sohna Road Faridabad Haryana|N/A|HR|121004|null|Mr. Sh C V Singh|0129 2480689|Principal|p@yahoo.co.in|Asia/Kolkata|IN
null|Rawal Public School|Rawal Public School Milk Plant, Mohna Road, Ballabgarh (Faridabad) Haryana|N/A|HR|121004|null|Dinesh Jindal|0124 0129-2211454 0129-2213628|Principal|rawalz@sify.com|Asia/Kolkata|IN
null|Rbs Model Public School|Rampura Road Rewari|N/A|HR|124002|null|Nalini Prakash|01262 9416118223|Principal|lccnnl@yahoo.com|Asia/Kolkata|IN
null|Rhythm Valley Public School|Village Mohri Jagir, Po Sitamai, Distt. Karnal|N/A|HR|132001|null|Mr.Rajiv Kumar|01745202595|Principal|rhythmvalley@rediffmail.com|Asia/Kolkata|IN
null|Rishi Public School|Delhi Road, Jonawas, Rewari|N/A|HR|123401|null|Vidhu Pal|01274240250|Principal|rishi.school@gmail.com|Asia/Kolkata|IN
null|Rishikul Arya Public School|Village Majri, P.O. Gubhana, Distt. Jhajjar, Haryana-124105|N/A|HR|124105|null|Ms Meena Kumari|01276 240182|Principal|joepaulcsc@rediffmail.com|Asia/Kolkata|IN
null|Rishikul Senior Secondary School|Principal . Rishikul Senior Secondary School , Arainpura Road , Bhola Colony, Gharaunda|N/A|HR|132114|null|Mr.Satish Chander Tyagi|09215091614 09466297588|Principal|rishikulschool@rocketmail.com|Asia/Kolkata|IN
null|Rishikul Sr. Sec. School|V.P.O. Kurana, Tehsil Israna, Distt. Panipat|N/A|HR|132107|null|Sikander Singh|0180-2591999|Principal|diginet_ravi@yahoo.co.in|Asia/Kolkata|IN
null|Rishikul Vidyapeeth|Gohana Road Deuru Sonipat Haryana|N/A|HR|131001|null|Sh S K Sharma|null|Principal|rishikul@ndf.vsnl.net.in|Asia/Kolkata|IN
null|Rising Sun Public School|Kalyan Farm Madhuban G T Road Karnal Haryana|N/A|HR|132001|null|Mrs Kamlesh Sagwal|0184 380944|Principal|npsnpr2007@yahoo.co.in|Asia/Kolkata|IN
null|Rockford Convent School|Shakti Park, Near Sec-10 A, Gurgaon 122001 (Hr)|N/A|HR|122001|null|Renu Chauhan|01282 0124-6453227 2370905 6569438|Principal|rockfordconvent@yahoo.co.in|Asia/Kolkata|IN
null|Rose Land Public School|Rose Land Public School, Jaipur Road, Near Hero Honda Chowk, N.H. 8, Gurgaon|N/A|HR|122001|null|Poonam Sharma|0124-4035104|Principal|roselandschool@yahoo.in|Asia/Kolkata|IN
null|Rose Valley Public School|Rathdhana Road, P.O. Delhi Road, Sonepat|N/A|HR|131001|null|Naresh Kumar|0130-2242732|Principal|rosevalleypublicschool@rediff.com|Asia/Kolkata|IN
null|Rotary Public School|Sector 22 Gurgaon Haryana|N/A|HR|122001|null|Sh R K Gupta|340057|Principal|rotary_school@mantramail.com|Asia/Kolkata|IN
null|Royal International Residential School|V.P.O. Khara Kheri|N/A|HR|125050|null|Diwaker Tiwari|044 09812772777|Principal|rirs2009@gmail.com|Asia/Kolkata|IN
null|Royal Public School|Village Bahbalpur|N/A|HR|125050|null|Komal|09812850840|Principal|royalpublicschoolbahbalpur@gmail.com|Asia/Kolkata|IN
null|Royal Public Sr. Sec. School|Vpo Wazirpur|N/A|HR|123505|null|Vijay Singh|0124-2276166 9811934270|Principal|royal_public@yahoo.co.in|Asia/Kolkata|IN
null|Ryan International School|Sector 21-B Faridabad Haryana|N/A|HR|122104|null|Mrs Mamta Wadhwa|5423737|Principal|ryanfaridabad@mantramail.com|Asia/Kolkata|IN
null|Ryan International School, Bhondsi, Gurgaon|Ryan International School, Bhondsi, Gurgaon Near Mahalaxmi Petrolpum, Behind Kiit, Gurgaon Sohna Road, Bhondsi, Gurgaon|N/A|HR|122001|null|N.M. Parti|0124-2265377|Principal|ryanggn@yahoo.com|Asia/Kolkata|IN
null|S A Jain Sr Model School|Ambala City Haryana|N/A|HR|134002|null|Dr. Anima Jain|56321|Principal|sajainmodel@rediffmail.com|Asia/Kolkata|IN
null|S B S Senior Sec School|Railway Road Karnal Haryana|N/A|HR|132001|null|Mrs. Saroj Singh|0184 2241548|Principal|sbs1860@yahoo.co.in|Asia/Kolkata|IN
null|S C R Public School|S C R Public School, Sheetla Colony, Part-Ii, Opp. Sector-5, Gurgaon|N/A|HR|122001|null|Sujesh Kumar Kataria|0124-2253187 6527516 6527517|Principal|kuldeepkataria25@gmail.com|Asia/Kolkata|IN
null|S D Adarsh Public School|Kunjpura Road Mandir Marg Karnal Haryana|N/A|HR|132001|null|Mr. P.D.Sharma|0184 2251165|Principal|pal4132@yahoo.com|Asia/Kolkata|IN
null|S D Adarsh Vidyalaya|Near Malibu Towne Sohana Road Tikri, Gurgaon Haryana |N/A|HR|N/A|null|Mrs Renuka Arora|20717|Principal|passandhu@maruti.co.in|Asia/Kolkata|IN
null|S D Maruti Nandan Vidya Mandir|Nilokheri - Distt. Karnal Haryana|N/A|HR|132117|null|P. Baweja|null|Principal|tagore@ndf.vsnl.net.in|Asia/Kolkata|IN
null|S D Model School Chhoti Lines|Jagadhari Yammuna Nagar Haryana|N/A|HR|135003|null|Mrs Usha Sharma|0130 KALKA|Principal|principal@bright-scholar.com|Asia/Kolkata|IN
null|S D Public School|Model Town Yamuna Nagar Haryana|N/A|HR|135001|null|Amrit Sharma|0581 27627|Principal|sdpublicynr@yahoo.com|Asia/Kolkata|IN
null|S D Public School|Jagadhari Haryana|N/A|HR|135003|null|Mrs. Usha Sharma|01732 231340|Principal|sdps_jgd@yahoo.com|Asia/Kolkata|IN
null|S D Vidya Mandir|G T Road Panipat Haryana|N/A|HR|132103|null|Mr. Dinesh Jindal|0180 2661890|Principal|sdvm@sify.com|Asia/Kolkata|IN
null|S E D Sr. Sec. School|S E D Sr. Sec. School Vill. Dhani Shankar, Po- Golagarh, Distt. & Tel. Bhiwani (Hr)|N/A|HR|127030|null|Mr.Pavan Kumar|01664-214848|Principal|sedcbseds@gmail.com|Asia/Kolkata|IN
null|S R S Public School|Delhi Road (Near Liberty Theatre) Rohtak Haryana|N/A|HR|124001|null|Smt Anju Arora|0484 2426682|Principal|bavkakkanad@yahoo.co.in|Asia/Kolkata|IN
null|S. Karam Singh Grewal Public School|Patiala Road Cheeka|N/A|HR|136034|null|Mr.H.C.Gulati|01743222866|Principal|harishgulati9999@gmail.com|Asia/Kolkata|IN
null|S. V. International School|Garhi Sampla,District Rohtak|N/A|HR|124501|null|Savita Maini|09812762921|Principal|arunkbatra@gmail.com|Asia/Kolkata|IN
null|S.D. Sr. Sec. School, Kakrala|Vill. & P.O. Kakrala Sub. Teh. Kanina Distt. Mohindergarh|N/A|HR|123027|null|Om Prakash|01285-236272|Principal|jagdevyadava@ymail.com|Asia/Kolkata|IN
null|S.D.Memorial High School|Madan Puri, Gali No. 11, Gurgaon|N/A|HR|122001|null|Kamlesh|0124-9650085422|Principal|sdmhs_gurgaon@rediffmail.com|Asia/Kolkata|IN
